Method,Total Time (s),Avg Time/Sample (s),Samples,rouge_1_f1,bleu_score,bert_score,faithfulness_score,token_overlap_score,Avg API Calls
SimpleRAG,7405.43,110.53,67,0.1945,0.0032,0.5934,0.6955,0.2961,0.0
CoTRAG,2972.97,44.37,67,0.1826,0.0032,0.5976,0.6579,0.3126,1.0
ToTRAG,13074.9,195.15,67,0.2297,0.0143,0.6098,0.7188,0.2975,20.0
GoTRAG,1.4,0.02,67,0.2163,0.0107,0.5928,0.7403,0.2876,5.0
FixedFewShotPlainLLM,946.42,14.13,67,0.1508,0.002,0.5301,0.7119,0.0,1.0
DynamicFewShotPlainLLM,719.79,10.74,67,0.3897,0.1181,0.6944,0.8779,0.0,1.0
