,_class_name,_library,_group,_path,_lines
934,L2,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/regularizers.py,32
935,OrthogonalRegularizer,keras,TensorFlow/Keras,keras-3.3.3/keras/src/regularizers/regularizers.py,62
936,ITE,sympy,Other,sympy-sympy-1.12.1/sympy/logic/boolalg.py,115
937,frac,sympy,Other,sympy-sympy-1.12.1/sympy/functions/elementary/integers.py,202
938,ExpSineSquared,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/gaussian_process/kernels.py,143
939,SetExpr,sympy,Other,sympy-sympy-1.12.1/sympy/sets/setexpr.py,82
940,SidecarEvaluatorModelExport,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/utils/sidecar_evaluator.py,91
941,UnionAtlas,networkx,Other,networkx-networkx-3.3/networkx/classes/coreviews.py,53
942,GaussianProcessClassifier,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/gaussian_process/_gpc.py,416
943,Multiply,keras,TensorFlow/Keras,keras-3.3.3/keras/src/layers/merging/multiply.py,31
944,_TrainingEndpoint,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/engine/training_v1.py,255
945,_GeneralizedLinearRegressor,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/linear_model/_glm/glm.py,431
946,_TensorDataLazyEvaluator,sympy,Other,sympy-sympy-1.12.1/sympy/tensor/tensor.py,372
947,BernoulliRBM,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/neural_network/_rbm.py,428
948,memmap,numpy,Other,numpy-1.26.4/numpy/core/memmap.py,316
949,AutoCastVariable,tfkeras,TensorFlow/Keras,tf-keras-2.16.0/tf_keras/mixed_precision/autocast_variable.py,498
950,Function,sympy,Other,sympy-sympy-1.12.1/sympy/core/function.py,436
951,GaussianInteger,sympy,Other,sympy-sympy-1.12.1/sympy/polys/domains/gaussiandomains.py,38
952,SHOKet,sympy,Other,sympy-sympy-1.12.1/sympy/physics/quantum/sho1d.py,80
953,HTTPException,werkzeug,Flask,werkzeug-3.0.3/src/werkzeug/exceptions.py,106
954,PredefinedSplit,sklearn,scikit-learn,scikit-learn-1.5.0/sklearn/model_selection/_split.py,122
955,dlti,scipy,Other,scipy-1.13.1/scipy/signal/_ltisys.py,189
